Feature ID	Taxon	Confidence	Taxon_Lv1	Taxon_Lv2	Taxon_Lv3	Taxon_Lv4	Taxon_Lv5	Taxon_Lv45
d1dc76935160cb39e2fd1636d6358288	Eukaryota	0.996975329	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
37331649317a9144003e9efaf306ba59	Eukaryota	0.997410342	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
872852014f92c0d2467698b2cc5e1971	Eukaryota	0.987873903	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
81e7fa050a8dbc13b38b92bf202fec21	Eukaryota	0.988110434	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
3591434f0d3fcb277c479848f4f4a2d6	Eukaryota	0.9967419	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c1f2664b64fcc0219831ebddd68bc8c3	Eukaryota	0.987460532	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
53562878019c044e3bea2321e4895777	Eukaryota	0.992027947	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
6a27d4671a43f69d44a5b24f0c45d001	Eukaryota	0.985641478	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
0b2a3c601bd0207b2f0f8c8aa0189d85	Eukaryota	0.982129734	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
255ccaa10d1b738689ebe44b781714e6	Eukaryota	0.997133393	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
13f54f65c9938adf017633b5448d7607	Eukaryota	0.991763968	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
75806ca8aa1eccd6f4489b1d1b4bd729	Eukaryota	0.979654411	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
3a034f60368accbdffa1b65845184eb4	Eukaryota	0.986104449	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d0d4c65cfe90b36408235b22226a337a	Eukaryota	0.985765619	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
52e71a0399b13181be07fa52c19ae4bf	Eukaryota	0.999735047	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
180adcfd0ffc22822242ab0ed328d962	Eukaryota	0.997541729	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
786466fb3d23be21131d1445dbda0843	Eukaryota	0.985498473	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
48e6822008ce72901eacb44de0b5363b	Eukaryota	0.984123355	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
890eb4f14510a0525fdca9000cf4bdb0	Eukaryota	0.994886967	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
9b887b17cc20978d360e0bca2455e3d7	Eukaryota	0.997082099	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
85c63c9f9edf46363a357625b47a30e2	Eukaryota	0.993912708	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
085b54e879683fb86d7edea8554b7a3f	Eukaryota	0.997387069	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
29253a64d846a4b35580e24d5dd2703b	Eukaryota	0.987548151	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
0847108f7603951c190cfdfde7a654c0	Eukaryota	0.991316124	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
9525dba407424bbd2930742491ea5135	Eukaryota	0.991125526	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
0f64f44600b288bdc48a82b12ec281f1	Eukaryota	0.99663302	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
5c67ab5cdae67763b49c58f18a22f22f	Eukaryota	0.981107638	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
6cf541d02f14a4bc01ce26d7e6720ae3	Eukaryota	0.996267152	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
f9c655ab160f9b394e6a9c4e3425b754	Eukaryota	0.997426733	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
47babd45ffcacfea9a92aedb83d761ea	Eukaryota	0.99670562	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d001a76dee1dae59373b4e3d695f1360	Eukaryota	0.996688111	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
eac75661edfd223e4f741b1ac8a8313d	Eukaryota	0.997901635	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
100baaaf7ad34466eda80d05847db688	Eukaryota	0.996795097	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
2cffbbdcdd098d9fac7050bd6ce2a5aa	Eukaryota	0.990314041	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
61e00df44efd8ccf7976e49753487e62	Eukaryota	0.997380372	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
978a0dae7318590f5f536fe6088c6a64	Eukaryota	0.997576388	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
60d480b20dbf9e1534a27308ec68f237	Eukaryota	0.984584975	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
ba21d83b6c8bae53cc8db5c20d230360	Eukaryota	0.982463715	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
034875d18979f29121589f8d6a3b7f39	Eukaryota	0.993329357	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
a3803b3c27015ec36c01f9a638427790	Eukaryota	0.986695295	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
e4f7be9dbbe3a3362ede9f6a6585aefd	Eukaryota	0.984333464	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
6de218eba86a379a5047a5f819692ad2	Eukaryota	0.999176185	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
b71ae8301a2faeda0c527f92635c780d	Eukaryota	0.99827107	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
105e488ecd19c0c3324fb46684a86591	Eukaryota	0.9907145	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d32f061787fedc01c2961d2b0835bece	Eukaryota	0.987500259	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
2d970fb3cec36c7347686c13fbcf6591	Eukaryota	0.979168839	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
40ff96bfdcb19effb54a7c591ac1184e	Eukaryota	0.993745859	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
a9b87476b0d8905d8697268608c945c6	Eukaryota	0.992399317	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
9ac79d0f341be3a38b9d09b21be12a2e	Eukaryota	0.986279721	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
5d485b7ea096e6ac24a011f1393db7e9	Eukaryota	0.996927131	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
bd485c6966f19adf8444bbca38528fb5	Eukaryota	0.987088398	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d30fb7388e3009c9cba5e02a27850b4f	Eukaryota	0.997087102	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
34c10b7e19ea14a0e43234a674adf03e	Eukaryota	0.995944916	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
bf19c5a25dbd8f00b4da049555c5d6bc	Eukaryota	0.998703275	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
a6cab33a6e56e50fb3ad5b819fa68b01	Eukaryota	0.987572618	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c667eaaf796b10f131d23a998b61bbd8	Eukaryota	0.992312484	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
120bc7a5231b521e2a3fc8408077dcca	Eukaryota	0.988906646	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
1c3888e263cc57ad128a0050d9d01ae2	Eukaryota	0.99096924	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
dbe7321408a1f5f75c42f44807844612	Eukaryota	0.98146453	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c135a90c94484e06dba20c0d1403f98c	Eukaryota	0.997513304	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
b270f30b287efaab5248ea9b9f8d6d9e	Eukaryota	0.997354173	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
0a73c0a1b83dadb49eeae59724ba348a	Eukaryota	0.99379552	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
37fbfc25a1b4f6ba4030ccb3695e639e	Eukaryota	0.995564236	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
99bbc9a47c1c6c3e78cfb7b6bd83b673	Eukaryota	0.986678607	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
46814f0b5c393a1bb6fb613c4cfe167b	Eukaryota	0.997152251	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
03488e8be6893824077f9f68f2fb63c7	Eukaryota	0.989835785	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
ec558acdf4105b21e535a855037eb662	Eukaryota	0.9971644	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
ff46b2755a0201cb2792f380b4875d7f	Eukaryota	0.999994578	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
8453f0c6aec5599a6c2fffeb67b5b7b6	Eukaryota	0.993616387	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
701253755e7227b094cded8d9caeacde	Eukaryota	0.99608359	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
becc72df271a0346029c49211982158e	Eukaryota	0.986902102	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
25c32711e90d731394d68ec36974e408	Eukaryota	0.995673029	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
4484337784b7ec8f5a2c84b79054a9bb	Eukaryota	0.995708782	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
04870bd3088d9510835d3ee4991734d0	Eukaryota	0.98031083	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
a4f2e6a7f111a02db67daa5c73a2c914	Eukaryota	0.987620929	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
3753d8756d9732afcb03e51ddf3fbbd4	Eukaryota	0.988030415	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
d1f6964a0bd147139c3d8c0d1bcd55a5	Eukaryota	0.995295914	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
8b6895f2ad568ea12e5aafcd28d4bde9	Eukaryota	0.99792316	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
04d36bd034b80bb5aa6a190b95269a08	Eukaryota	0.993243666	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
057a4a636e587d096d070c04f6a89ef4	Eukaryota	0.998603088	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
54863adba77121dc104c195f6cbf976b	Eukaryota	0.99430652	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
76e8df3ae44228848550400e19281057	Eukaryota	0.999934627	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
8acc2462974e938afb458b9e1a2cbdbc	Eukaryota	0.992797616	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
a2581dcec355b3d95fef3e24837bbb09	Eukaryota	0.997352261	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
745139d39e305a580cf969614098960d	Eukaryota	0.999937594	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
c1ee5b44b3283e20a32e46113ca7abf5	Eukaryota	0.997400454	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
e36c667ad24e01817f187494e1bb3af0	Eukaryota	0.998231744	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
2fea436c37bf05006aecdccb0c0cb838	Eukaryota	0.995610589	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
2fe28d58c41f45eaacd26647a5c15cf4	Eukaryota	0.996170063	Eukaryota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified;Unclassified
