id	Alveolata;Dinoflagellata;Syndiniales	Alveolata;Dinoflagellata;Dinophyceae	Alveolata;Ciliophora;Spirotrichea	Stramenopiles;Gyrista;Mediophyceae	Alveolata;Ciliophora;Oligohymenophorea	Rhizaria;Radiolaria;Acantharea	Stramenopiles;Gyrista;MOCH-2	Haptophyta;Haptophyta_X;Prymnesiophyceae	Picozoa;Picozoa_X;Picozoa_XX	Kathablepharidacea;Kathablepharida;Kathablepharidea	Alveolata;Ciliophora;CONThreeP	Alveolata;Ciliophora;Unclassified	Rhizaria;Cercozoa;Filosa-Imbricatea	Opisthokonta;Choanoflagellata;Choanoflagellatea	Stramenopiles;Unclassified;Unclassified	Cryptophyta;Cryptophyta_X;Cryptophyceae	Telonemia;Telonemia_X;Telonemia_XX	Stramenopiles;Gyrista;Bacillariophyceae	Stramenopiles;Bigyra;Sagenista	Stramenopiles;Gyrista;Bolidophyceae	Rhizaria;Radiolaria;RAD-B	Rhizaria;Cercozoa;Filosa-Thecofilosea	Opisthokonta;Unclassified;Unclassified	Stramenopiles;Gyrista;Coscinodiscophyceae	Rhizaria;Cercozoa;Endomyxa	Chlorophyta;Chlorophyta_X;Pyramimonadophyceae	Alveolata;Ciliophora;Phyllopharyngea	Rhizaria;Radiolaria;Polycystinea	Rhizaria;Radiolaria;RAD-A	Alveolata;Ciliophora;Ciliophora_X	Rhizaria;Radiolaria;RAD-C	Rhizaria;Cercozoa;Cercozoa_X	Rhizaria;Cercozoa;Unclassified	Haptophyta;Haptophyta_X;Haptophyta_Clade_HAP5	Opisthokonta;Ichthyosporea;Ichthyophonida	Unclassified;Unclassified;Unclassified...37	Alveolata;Ciliophora;Litostomatea	Haptophyta;Haptophyta_X;Rappephyceae	Opisthokonta;Fungi;Ascomycota	Alveolata;Dinoflagellata;Unclassified	Unclassified;Unclassified;Unclassified...42	Stramenopiles;Stramenopiles_X;Stramenopiles_XX	Apusomonada;Apusomonada_X;Apusomonadidae	Centroplasthelida;Centroplasthelida_X;Pterocystida	Opisthokonta;Fungi;Fungi_X	Streptophyta;Streptophyta_X;Embryophyceae	Unclassified;Unclassified;Unclassified...48	Stramenopiles;Gyrista;Chrysophyceae	Unclassified;Unclassified;Unclassified...50	Chlorophyta;Chlorophyta_X;Mamiellophyceae	Rhizaria;Cercozoa;Chlorarachniophyceae	Chlorophyta;Chlorophyta_X;Chlorodendrophyceae	Stramenopiles;Gyrista;Developea	Stramenopiles;Gyrista;Gyrista_X	Stramenopiles;Gyrista;MOCH-3	Opisthokonta;Fungi;Chytridiomycota	Evosea;Evosea_X;Variosea	Opisthokonta;Fungi;Basidiomycota	Opisthokonta;Rotosphaerida;Rotosphaerida_X	Haptophyta;Haptophyta_X;Haptophyta_Clade_HAP4	Stramenopiles;Gyrista;MOCH-5	Rhizaria;Radiolaria;Radiolaria_X	Unclassified;Unclassified;Unclassified...64	Alveolata;Ciliophora;CONTH_3	Stramenopiles;Gyrista;Pelagophyceae	Alveolata;Dinoflagellata;Dinophyta_X	Rhizaria;Cercozoa;Phaeodarea	Opisthokonta;Fungi;Unclassified	Stramenopiles;Gyrista;Pirsoniales	Stramenopiles;Stramenopiles_X;Stramenopiles_X-Group-7	Stramenopiles;Gyrista;Hyphochytriomyceta	Chlorophyta;Chlorophyta_X;Chlorophyta_XX	Alveolata;Ciliophora;CONTH_8	Alveolata;Ciliophora;Heterotrichea	Discosea;Discosea_X;Flabellinia	Chlorophyta;Chlorophyta_X;Trebouxiophyceae	Stramenopiles;Gyrista;Dictyochophyceae	Alveolata;Unclassified;Unclassified	Chlorophyta;Chlorophyta_X;Chloropicophyceae	Alveolata;Dinoflagellata;Ellobiophyceae	Opisthokonta;Opisthokonta_X;Opisthokonta_XX	Ancyromonadida;Ancyromonadida_X;Ancyromonadida_XX	Stramenopiles;Gyrista;MOCH-4	Picozoa;Picozoa_X;Picomonadea	Centroplasthelida;Centroplasthelida_X;Centroplasthelida_XX	Stramenopiles;Gyrista;Unclassified	Haptophyta;Haptophyta_X;Haptophyta_Clade_HAP3	Alveolata;Ciliophora;Prostomatea_1	Chlorophyta;Chlorophyta_X;Unclassified	Rhizaria;Cercozoa;Filosa-Granofilosea	Alveolata;Ciliophora;Colpodea	Chlorophyta;Chlorophyta_X;Pedinophyceae	Haptophyta;Haptophyta_X;Pavlovophyceae	Haptophyta;Haptophyta_X;Haptophyta_Clade_HAP2	Haptophyta;Haptophyta_X;Haptophyta_XX	Streptophyta;Streptophyta_X;Streptophyta_XX	Tubulinea;Tubulinea_X;Echinamoebida	Haptophyta;Haptophyta_X;Unclassified	Discoba;Discoba_X;Heterolobosea	Chlorophyta;Chlorophyta_X;Ulvophyceae	Chlorophyta;Chlorophyta_X;Chlorophyceae	Tubulinea;Tubulinea_X;Elardia	Centroplasthelida;Centroplasthelida_X;Unclassified	Rhizaria;Cercozoa;Filosa-Sarcomonadea	Streptophyta;Streptophyta_X;Klebsormidiophyceae	Opisthokonta;Fungi;Rozellomycota	Nibbleridia;Nibbleridia_X;Nibbleridea	Nebulidia;Nebulidia_X;Nebulidea	Picozoa;Picozoa_X;Unclassified	Prasinodermophyta;Prasinodermophyta_X;Prasinodermophyceae	Rhizaria;Unclassified;Unclassified	Alveolata;Alveolata_X;Ellobiopsidae	Cryptophyta:nucl;Cryptophyta_X:nucl;Cryptophyceae:nucl	Discosea;Discosea_X;Stygamoebida	Chlorophyta;Chlorophyta_X;Nephroselmidophyceae	Mantamonadidea;Mantamonadidea_X;Mantamonadida	Rhizaria;Cercozoa;Endomyxa-Phytomyxea
DRNA01	0.060284050270767345	0.10163993052007765	0.5219168284458976	8.429549402268315e-4	0.012414427301522427	0.0030908347808317155	4.0870542556452436e-4	0.14662307142127312	0.026642484928987433	0.002017983038724839	0.0036272606518851537	0.0030652906917339327	0.0026565852661694085	0.0037038929191785023	0	0.010396444262797589	0.018187391437621336	2.0435271278226218e-4	0.00086849902932461425	0	0.0016603657913558801	0	0	1.2772044548891386e-4	0	0	0.02449678144477368	0	0.00487892101767651	9.706753857157454e-4	9.451312966179626e-4	3.5761724736895883e-4	0	6.386022274445693e-4	0	2.554408909778277e-4	0	7.152344947379177e-4	5.875140492490038e-4	0	6.896904056401348e-4	0.004316951057525289	0	0	0.029912128333503627	0	0	2.0435271278226218e-4	0	0.005568611423316644	5.61969960151221e-4	0	0	0.002247879840604884	0	0	0	0	0	8.174108511290487e-4	0	0	0	0	0.001456013078573618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRNA03	0.04331640557755207	0.17397572731967637	0.2831167154415562	0.0016138750215183336	0.012545188500602513	0.004239111723188156	0	0.08577207781029438	0.019947495265966602	0.0013126183508349112	0.004325185057669134	1.2911000172146668e-4	0.002302461697366156	0.0023885350318471337	0	0.006563091754174557	0.014890686865209158	0	3.6581167154415564e-4	0	0.0030986400413152006	0	0	1.0759166810122225e-4	0	0	0.01775262523670167	6.455500086073334e-5	0.004325185057669134	1.9366500258220003e-4	0.0027113100361508004	0	0	0	0	0.2775434670339129	0	1.9366500258220003e-4	0	6.885866758478223e-4	0	0.003894818385264245	0	2.5822000344293336e-4	0.02100189361335858	5.379583405061112e-4	0	0	0	0.0028189017042520225	1.5062833534171114e-4	0	0	0.0013771733516956446	0	0	0	0	0	8.60733344809778e-4	0	0	0	0	7.531416767085557e-4	0	0	0	0	0	0	0	0.004325185057669134	1.9366500258220003e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4429333792391115e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRNA05	0.031062993924443835	0.10677142813637264	0.41178261995036014	0.0010658870464269944	0.08128150076896137	0.007324166704734061	0	0.007765748481110959	0.00577101700851187	9.136174683659952e-5	0.0011877027088757937	0.005116257822849573	0.0016140575274465915	0.00379151249371888	0	0.0019795045147929895	0.004080824692034779	5.329435232134972e-4	7.918018059171958e-4	7.156670168866962e-4	0.008161649384069557	1.522695780609992e-4	0.0015836036118343916	9.136174683659952e-5	3.6544698734639806e-4	0	0.0014313340337733923	0.0036849237890761804	6.699861434683965e-4	0.0013856531603550926	0.011572487932635938	3.045391561219984e-4	9.136174683659952e-5	0	1.3704262025489926e-4	0.0031824341814748833	0.0034869733375968814	0	0.11091316065963182	0.0010202061730086947	0	8.527096371415954e-4	0	4.263548185707977e-4	7.308939746927961e-4	0.1692171820991884	0	0	0	0	2.740852405097985e-4	0	0	9.136174683659951e-4	0	0	0	0.0018729158101502901	0	7.61347890304996e-5	0	0	0	0	6.090783122439968e-5	0	0.0014161070759672926	0	0	0	1.8272349367319903e-4	7.61347890304996e-5	0	5.63397438825697e-4	0	0	0	1.9795045147929895e-4	0	3.5022002954029815e-4	0	2.2840436709149878e-4	4.111278607646978e-4	0	0	0	0	1.2181566244879936e-4	0	0	4.111278607646978e-4	0	0	0	1.522695780609992e-4	0	0	0	0	0	0	0	0	2.1317740928539886e-4	0	0	0	0	0	2.1317740928539886e-4	0	0	0	7.61347890304996e-5	0	0	0
DRNA07	0.11949431099873578	0.13509481668773704	0.2018710493046776	6.826801517067003e-4	0.0025031605562579012	0.004146649810366624	0.0037673830594184576	0.18756005056890013	0.01327433628318584	0.0017446270543615677	0.008141592920353982	1.5170670037926675e-4	0.0011378002528445006	0.01034134007585335	0	0.1393173198482933	0.014892541087231353	0.002402022756005057	0.0011125158027812895	0	0.00225031605562579	0	1.5170670037926675e-4	0	0	0.0018963337547408343	0.00652338811630847	1.2642225031605562e-4	0.0031605562579013905	2.7812895069532237e-4	3.5398230088495576e-4	0.003261694058154235	0	8.09102402022756e-4	0	0	5.309734513274337e-4	1.2642225031605562e-4	0	0	0.002882427307206068	0.011150442477876107	0	0.004753476611883692	0.026194690265486726	4.04551201011378e-4	0	4.04551201011378e-4	0	0.023514538558786345	3.2869785082174463e-4	0	0	0.005815423514538559	0	0	0	0	0	0.0011125158027812895	1.2642225031605562e-4	0	0	0	0.054968394437420985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001238938053097345	0	0	0	0
DRNA09	0.12877259262439358	0.16844116258103292	0.0971751169879363	0.0016957884342935646	0.00959515734340789	0.004937105568196454	0.0041214098656248655	0.1890267462327738	0.017580388958056067	0.0026402781951659297	0.004400463658609883	0.0011591465247069936	0.001481131670458936	0.012707680419010003	0	0.119005709869918	0.017451594899755292	0.0019748422272785815	0.0032198514575194266	0	8.15695702571588e-4	0	0.0013523376121581591	0	0	0.00233975872579745	0.005001502597346843	4.293135276692569e-4	0.005624007212467265	0	0.0017601854634439532	0.0028120036062336323	0	0	0	0.04138582406731636	0	7.512986734211995e-4	0.003434508221354055	0.0040140814837075515	0	0.016485639462499462	0	0.0068046194135577215	0.02908599149959215	0.002618812518782467	0	6.225046151204224e-4	0	0.029472373674494484	4.07847851285794e-4	0	0	0.011140686043017215	2.575881166015541e-4	0	0	0	0	0.0021680333147297472	0	0	0	0	0.041407289743699824	0	0	0	0	0	0	0	0.0013738032885416218	6.439702915038852e-5	0	0	3.4345082213540546e-4	0	0	0	0	0	5.36641909586571e-4	0	0	0	0	0	0	0	0	0	0	0	9.874211136392907e-4	0	2.575881166015541e-4	0	0	0	0	2.3612244021809127e-4	0	0	0	0	0	0	0	0	0	0	6.225046151204224e-4	0	0	0	0
DRNA11	0.03618958430882888	0.12107590656053276	0.048499037511055616	0	0.052276156287393995	0.0025805108995369647	0	0.0065449248218094795	0.009770563446230686	8.324228708183758e-5	0.0013214713074241715	0.0014255241662764684	1.8729514593413454e-4	0.004828052650746579	3.329691483273503e-4	0.003475365485666719	0.0021747047500130065	0	0.001581603454554914	0.0023411893241766816	0.0018833567452265752	0	0.0030071276208313825	5.202642942614848e-5	0	0	0.6540138390302274	0.0011445814473752666	8.324228708183758e-5	2.2891628947505332e-4	0.014182404661568077	1.3526871650798605e-4	0	0	0	0.010041100879246657	4.3702200717964725e-4	0	0.001165392019145726	0	0	0.002018625461734561	0	0.0038707663493054473	0.0014255241662764684	0.0062847926746787365	0	2.39321575360283e-4	7.283700119660787e-5	0	2.1851100358982362e-4	0	0	0.0018105197440299672	0	0	0	2.2891628947505332e-4	0	6.243171531137818e-4	0	0	0	0	4.162114354091879e-5	0	1.9770043181936424e-4	6.139118672285521e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4337443421258e-4	4.3702200717964725e-4	0	1.4567400239321574e-4	0	0	4.162114354091879e-5	0	0	0	0	0	0	1.4567400239321574e-4	0	0	0	4.162114354091879e-5	0	1.3526871650798605e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRNA13	0.04578408746532391	0.09436557335011772	0.5447467188847704	0.0012588292887614518	0.006667132899736579	0.0038697344802666855	7.692845653542205e-4	0.09709303680910086	0.018369582954518963	0.003683241252302026	0.009627712893675549	0.0022612303890714967	0.0019115555866377602	0.006527262978763083	0	0.00820570203044502	0.038277735039746366	2.797398419469893e-4	0.0016784390516819357	0	8.625311793365503e-4	1.6318157446907708e-4	6.993496048674733e-5	0	0	1.8649322796465952e-4	0.011212905331375155	0	0.005548173531948621	9.324661398232976e-5	0	4.662330699116488e-4	0	7.692845653542205e-4	0	4.662330699116488e-5	5.128563769028138e-4	2.564281884514069e-4	0.0011422710212835396	0	0	0.00925472643774623	0	6.993496048674732e-4	0.0633377625474975	2.564281884514069e-4	0	3.7298645592931905e-4	0	0.008951674942303658	0.0010490244073012099	0	0	0.0048488239270811475	0	0	0	0	0	0.002377788656549409	0	0	0	0	0.0016551273981863534	0	0	0	0	0	0	0	0	1.6318157446907708e-4	0	0	0	0	0	0	0	0	1.3986992097349466e-4	0	0	1.8649322796465952e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRNA15	0.02623477446125017	0.10228885022085397	0.5122473564449204	0.004524160085664569	0.02361129701512515	0.003453352964797216	9.369562307589345e-4	0.09166108954624548	0.019408379065720786	0.0016062106813010306	0.007736581448266631	0.0016597510373443983	0.0014991299692142953	0.007067326997724535	0	0.00821844465265694	0.03779949136661759	1.873912461517869e-4	0.001713291393387766	0	0.00139204925712756	2.677017802168384e-4	0	0	0	4.283228483469415e-4	0.03809396332485611	0.0011511176549324053	0.007361798955963057	0.00104403694284567	2.409316021951546e-4	4.283228483469415e-4	0	0	0	0	6.424842725204123e-4	9.904965868023023e-4	0	5.3540356043367687e-5	0.004497389907642885	0.010895462454825325	0	0	0.060152590014723596	0	0	1.873912461517869e-4	0	0.01038682907241333	7.495649846071476e-4	0	0	0.004684781153794673	0	0	0	0	0	0.0018471422834961853	0	0	0	0	0.00208807388569134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6062106813010307e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.677017802168384e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.338508901084192e-4	0	0	0	0
DRNA17	0.015485665532999076	0.05424073489709337	0.7196451737316364	7.012376845131657e-4	0.04871264448418124	0.031777754403188294	0	0.015696036838353026	0.0017647815060248004	3.7399343174035504e-4	0.005352780991783832	3.272442527728107e-4	4.90866379159216e-4	0.002571204843214941	5.843647370943048e-5	0.007199373561001835	0.006217640802683403	5.960520318361909e-4	2.45433189579608e-4	0	0.010962682467889158	0	6.428012108037353e-4	1.8699671587017752e-4	1.5193483164451925e-4	0.001098605705737293	0.001215478653156154	7.246122739969379e-4	3.7399343174035504e-4	0.0016829704428315978	0.003880181854306184	4.674917896754438e-5	4.674917896754438e-5	0	0	0.0016829704428315978	7.830487477063684e-4	1.6362212638640534e-4	0.050454051400722275	4.441172001916716e-4	3.038696632890385e-4	0.0010051073478022042	0	3.7399343174035504e-4	0.0013907880742844454	8.53172516157685e-4	0	2.3374589483772193e-4	0	8.064233371901406e-4	2.688077790633802e-4	1.0518565267697486e-4	0	5.609901476105326e-4	0	0	0	4.90866379159216e-4	0	3.9736802122412727e-4	0	0	0	0	9.466708740927738e-4	0	9.466708740927738e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.558044949335577e-4	0	0	0	0	0	0	0	0	3.272442527728107e-4	0	0	0	0	0	0	0	0.002103713053539497	1.5193483164451925e-4	0	0.002103713053539497	0	0	0	0	0	0	0	0	0	0	1.7530942112829143e-4	0	0	0	0
DRNA19	0.07777543469509039	0.18635814657899277	0.2481644077219485	0.001073557885857792	0.0039108180127676705	0.004294231543431168	0.002971454862642103	0.15089239499261928	0.009221095412457105	0.002779748097310354	0.008358414968464237	7.668270613269942e-4	8.626804439928685e-4	0.010793090888177443	0	0.12871192224373598	0.025247780994191286	9.968751797250926e-4	0.0018020435941184364	0	3.450721775971474e-4	0	0	0	0	0.0015144834461208135	0.002913942833042578	5.751202959952457e-5	0.009067730000191707	0	1.34194735732224e-4	0.0023196518605141576	0	0	0	0	0	0.0015144834461208135	0.0013802887103885897	2.3004811839809827e-4	5.176082663957212e-4	0.015413223932672583	0	0.007189003699940571	0.04819508080440159	0	0	3.834135306634971e-4	0	0.015681613404137033	2.1087744186492341e-4	0	0	0.003834135306634971	1.34194735732224e-4	0	0	0	0	0.0014761420930544638	0	0	0	0	0.020090869006767247	0	0	0	0	0	0	0	0	0	0	0	9.585338266587428e-5	0	0	3.8341353066349714e-5	0	0	3.6424285413032227e-4	0	0	0	0	0	0	0	0	0	0	0	5.751202959952457e-4	0	0	3.067308245307977e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010352165327914423	0	0	0	0
