id	Name	Biome	Station	Depth	Zone	Depth_m	Form	Days	Condition	Abundance
DRNA01	CF_St5_SRF_D0	Pelagic	St5	SRF	EPI	10	CF	0	Raw	2.46E+04
DRNA03	CF_St5_SCM_D0	Pelagic	St5	SCM	EPI	53	CF	0	Raw	2.59E+04
DRNA05	CF_St5_MES_D0	Pelagic	St5	MES	MES	300	CF	0	Raw	6.20E+02
DRNA07	CF_St5_SRF_D1	Pelagic	St5	SRF	EPI	10	CF	1	Incubate	6.00E+04
DRNA09	CF_St5_SCM_D1	Pelagic	St5	SCM	EPI	53	CF	1	Incubate	4.24E+04
DRNA11	CF_St5_MES_D1	Pelagic	St5	MES	MES	300	CF	1	Incubate	1.80E+03
DRNA13	CF_St6_SRF_D0	Pelagic	St6	SRF	EPI	10	CF	0	Raw	1.18E+04
DRNA15	CF_St6_SCM_D0	Pelagic	St6	SCM	EPI	35	CF	0	Raw	7.92E+03
DRNA17	CF_St6_MES_D0	Pelagic	St6	MES	MES	500	CF	0	Raw	2.44E+02
DRNA19	CF_St6_SRF_D1	Pelagic	St6	SRF	EPI	10	CF	1	Incubate	2.78E+04
DRNA21	CF_St6_SCM_D1	Pelagic	St6	SCM	EPI	35	CF	1	Incubate	1.24E+04
DRNA23	CF_St6_MES_D1	Pelagic	St6	MES	MES	500	CF	1	Incubate	3.44E+02
DRNA25	CF_St3_SRF_D0	Pelagic	St3	SRF	EPI	10	CF	0	Raw	3.60E+03
DRNA27	CF_St3_SCM_D0	Pelagic	St3	SCM	EPI	93	CF	0	Raw	1.32E+03
DRNA29	CF_St3_MES_D0	Pelagic	St3	MES	MES	300	CF	0	Raw	1.46E+03
DRNA31	CF_St3_SRF_D1	Pelagic	St3	SRF	EPI	10	CF	1	Incubate	2.76E+03
DRNA33	CF_St3_SCM_D1	Pelagic	St3	SCM	EPI	93	CF	1	Incubate	4.60E+03
DRNA35	CF_St3_MES_D1	Pelagic	St3	MES	MES	300	CF	1	Incubate	6.00E+02
DRNA37	CF_StE1_SRF_D0	Pelagic	StE1	SRF	EPI	10	CF	0	Raw	5.20E+03
DRNA39	CF_StE1_SCM_D0	Pelagic	StE1	SCM	EPI	54	CF	0	Raw	2.08E+03
DRNA41	CF_StE1_MES_D0	Pelagic	StE1	MES	MES	500	CF	0	Raw	1.96E+02
DRNA43	CF_StE1_SRF_D1	Pelagic	StE1	SRF	EPI	10	CF	1	Incubate	4.28E+03
DRNA45	CF_StE1_SCM_D1	Pelagic	StE1	SCM	EPI	54	CF	1	Incubate	6.08E+03
DRNA47	CF_StE1_MES_D1	Pelagic	StE1	MES	MES	500	CF	1	Incubate	3.84E+02
DRNA49	CF_St8_SRF_D0	Pelagic	St8	SRF	EPI	10	CF	0	Raw	2.36E+03
DRNA51	CF_St8_SCM_D0	Pelagic	St8	SCM	EPI	43	CF	0	Raw	6.80E+03
DRNA53	CF_St8_MES_D0	Pelagic	St8	MES	MES	300	CF	0	Raw	6.00E+02
DRNA55	CF_St8_SRF_D1	Pelagic	St8	SRF	EPI	10	CF	1	Incubate	1.56E+04
DRNA57	CF_St8_SCM_D1	Pelagic	St8	SCM	EPI	43	CF	1	Incubate	5.40E+04
DRNA59	CF_St8_MES_D1	Pelagic	St8	MES	MES	300	CF	1	Incubate	1.08E+03
PRNA01	CA_St5_SRF_D0	Pelagic	St5	SRF	EPI	10	CA	0	Raw	1.64E+05
PRNA02	CA_St5_SCM_D0	Pelagic	St5	SCM	EPI	53	CA	0	Raw	8.67E+04
PRNA03	CA_St5_MES_D0	Pelagic	St5	MES	MES	300	CA	0	Raw	5.60E+02
PRNA04	CA_St5_SRF_D1	Pelagic	St5	SRF	EPI	10	CA	1	Incubate	4.73E+03
PRNA05	CA_St5_SCM_D1	Pelagic	St5	SCM	EPI	53	CA	1	Incubate	1.70E+03
PRNA06	CA_St5_MES_D1	Pelagic	St5	MES	MES	300	CA	1	Incubate	3.13E+01
PRNA07	CA_St6_SRF_D0	Pelagic	St6	SRF	EPI	10	CA	0	Raw	1.86E+05
PRNA08	CA_St6_SCM_D0	Pelagic	St6	SCM	EPI	35	CA	0	Raw	1.15E+05
PRNA09	CA_St6_MES_D0	Pelagic	St6	MES	MES	500	CA	0	Raw	3.60E+02
PRNA10	CA_St6_SRF_D1	Pelagic	St6	SRF	EPI	10	CA	1	Incubate	4.17E+03
PRNA11	CA_St6_SCM_D1	Pelagic	St6	SCM	EPI	35	CA	1	Incubate	7.43E+04
PRNA12	CA_St6_MES_D1	Pelagic	St6	MES	MES	500	CA	1	Incubate	1.67E+01
PRNA13	CA_St3_SRF_D0	Pelagic	St3	SRF	EPI	10	CA	0	Raw	7.79E+04
PRNA14	CA_St3_SCM_D0	Pelagic	St3	SCM	EPI	93	CA	0	Raw	4.20E+04
PRNA15	CA_St3_MES_D0	Pelagic	St3	MES	MES	300	CA	0	Raw	4.93E+02
PRNA16	CA_St3_SRF_D1	Pelagic	St3	SRF	EPI	10	CA	1	Incubate	1.36E+04
PRNA17	CA_St3_SCM_D1	Pelagic	St3	SCM	EPI	93	CA	1	Incubate	1.67E+03
PRNA18	CA_St3_MES_D1	Pelagic	St3	MES	MES	300	CA	1	Incubate	1.03E+03
PRNA19	CA_StE1_SRF_D0	Pelagic	StE1	SRF	EPI	10	CA	0	Raw	7.71E+04
PRNA20	CA_StE1_SCM_D0	Pelagic	StE1	SCM	EPI	54	CA	0	Raw	6.72E+04
PRNA21	CA_StE1_MES_D0	Pelagic	StE1	MES	MES	500	CA	0	Raw	1.92E+03
PRNA22	CA_StE1_SRF_D1	Pelagic	StE1	SRF	EPI	10	CA	1	Incubate	6.67E+03
PRNA23	CA_StE1_SCM_D1	Pelagic	StE1	SCM	EPI	54	CA	1	Incubate	2.40E+04
PRNA24	CA_StE1_MES_D1	Pelagic	StE1	MES	MES	500	CA	1	Incubate	7.33E+02
PRNA25	CA_St8_SRF_D0	Pelagic	St8	SRF	EPI	10	CA	0	Raw	9.99E+04
PRNA26	CA_St8_SCM_D0	Pelagic	St8	SCM	EPI	43	CA	0	Raw	1.32E+05
PRNA27	CA_St8_MES_D0	Pelagic	St8	MES	MES	300	CA	0	Raw	4.53E+02
PRNA28	CA_St8_SRF_D1	Pelagic	St8	SRF	EPI	10	CA	1	Incubate	3.10E+04
PRNA29	CA_St8_SCM_D1	Pelagic	St8	SCM	EPI	43	CA	1	Incubate	4.00E+04
PRNA30	CA_St8_MES_D1	Pelagic	St8	MES	MES	300	CA	1	Incubate	3.67E+02
SumaD01	CF_Suma_0_D0_Raw_1	Coastal	Suma	Buckets	EPI	0	CF	0	Raw	1.24E+06
SumaD02	CF_Suma_0_D0_Raw_2	Coastal	Suma	Buckets	EPI	0	CF	0	Raw	7.32E+05
SumaD04	CF_Suma_0_D1_Filtrate_1	Coastal	Suma	Buckets	MES	0	CF	1	Filtrate	1.58E+06
SumaD05	CF_Suma_0_D1_Filtrate_2	Coastal	Suma	Buckets	EPI	0	CF	1	Filtrate	1.80E+06
SumaD07	CF_Suma_0_D3_Filtrate_1	Coastal	Suma	Buckets	EPI	0	CF	3	Filtrate	6.96E+06
SumaD08	CF_Suma_0_D3_Filtrate_2	Coastal	Suma	Buckets	EPI	0	CF	3	Filtrate	5.52E+06
SumaD10	CF_Suma_0_D5_Filtrate_1	Coastal	Suma	Buckets	EPI	0	CF	5	Filtrate	6.20E+06
SumaD11	CF_Suma_0_D5_Filtrate_2	Coastal	Suma	Buckets	EPI	0	CF	5	Filtrate	7.36E+06
SumaD13	CF_Suma_0_D3_Incubate_1	Coastal	Suma	Buckets	EPI	0	CF	3	Incubate	8.36E+04
SumaD14	CF_Suma_0_D3_Incubate_2	Coastal	Suma	Buckets	EPI	0	CF	3	Incubate	6.12E+04
SumaD16	CF_Suma_0_D5_Incubate_1	Coastal	Suma	Buckets	EPI	0	CF	5	Incubate	1.56E+05
SumaD17	CF_Suma_0_D5_Incubate_2	Coastal	Suma	Buckets	EPI	0	CF	5	Incubate	1.58E+05
SumaF01	CA_Suma_0_D0_Raw_1	Coastal	Suma	Buckets	EPI	0	CA	0	Raw	1.35E+06
SumaF02	CA_Suma_0_D0_Raw_2	Coastal	Suma	Buckets	EPI	0	CA	0	Raw	1.36E+06
SumaF04	CA_Suma_0_D3_Incubate_1	Coastal	Suma	Buckets	EPI	0	CA	3	Incubate	1.91E+06
SumaF05	CA_Suma_0_D3_Incubate_2	Coastal	Suma	Buckets	EPI	0	CA	3	Incubate	1.31E+06
SumaF07	CA_Suma_0_D5_Incubate_1	Coastal	Suma	Buckets	EPI	0	CA	5	Incubate	8.80E+05
SumaF08	CA_Suma_0_D5_Incubate_2	Coastal	Suma	Buckets	EPI	0	CA	5	Incubate	1.40E+06
